1,1359,1757
2,0,0
3,2000,1743
4,2069,1772
5,2743,1741
6,0,0
7,0,0
8,1194,1557
9,0,0
10,1443,1521
11,1484,1610
12,1745,1556
13,2022,1527
14,2021,1597
15,2181,1504
16,0,0
17,2532,1609
18,2679,1532
19,0,0
20,2817,1558
21,1477,1426
22,1758,1452
23,1887,1414
24,1206,1305
25,1369,1258
26,1332,1356
27,1400,1380
28,1535,1207
29,1718,1317
30,1806,1210
31,0,0
32,2073,1209
33,2023,1311
34,2220,1332
35,2344,1384
36,2393,1211
37,0,0
38,2577,1380
39,2685,1257
40,2758,1416
41,2917,1436
42,1070,1122
43,0,0
44,1331,1008
45,1495,977
46,0,0
47,0,0
48,2007,1056
49,0,0
50,2288,1046
51,2558,1061
52,2866,1069
53,3028,1123
54,926,770
55,0,0
56,1241,733
57,0,0
58,1567,894
59,1632,712
60,1748,888
61,1917,669
62,2119,776
63,0,0
64,2305,831
65,2507,741
66,0,0
67,2705,959
68,0,0
69,2821,766
70,3048,960
71,3125,642
72,776,369
73,891,384
74,1045,345
75,1246,363
76,1441,353
77,1578,366
78,2482,387
79,2608,261
80,2829,381
81,3052,338
82,3210,388
83,3364,383
84,1230,1457
85,1342,1454
86,1585,1349
87,1726,1412
88,2294,1545
89,2448,1443
90,1223,1176
91,1237,1058
92,1175,968
93,1693,1091
94,1688,962
95,1916,902
96,2150,1151
97,2438,949
98,2539,1223
99,2913,1281
100,1312,645
101,1342,529
102,2321,635
103,2768,542
104,2650,390
